name;location
Motipur;(100,500)
Kauwapur;(100,500)
Baunia;(100,500)
Chuha;(100,500)
Motipur;(100,500)
Kauwapur;(100,500)
Baunia;(100,500)
Chuha;(100,500)
Motipur;(100,500)
Kauwapur;(100,500)
Baunia;(100,500)
Chuha;(100,500)
Kauwapur;(100,500)
Baunia;(100,500)
Chuha;(100,500)
Motipur;(100,500)
Kauwapur;(100,500)
Baunia;(100,500)
Chuha;(100,500)
Motipur;(100,500)
Kauwapur;(100,500)
Baunia;(100,500)
Chuha;(100,500)
Motipur;(100,500)
Kauwapur;(100,500)
Baunia;(100,500)
Chuha;(100,500)
Motipur;(100,500)
Kauwapur;(100,500)
Baunia;(100,500)
Chuha;(100,500)
Motipur;(100,500)
Kauwapur;(100,500)
Baunia;(100,500)
Chuha;(100,500)
Motipur;(100,500)
Kauwapur;(100,500)
Baunia;(100,500)
Chuha;(100,500)
